address,weight
0x000000000005DFe874F01071D0E05f99178a5Cfc,25.0
0x0000000000dFa724D4232675d9FA6c3f4945dCCC,75.0
0x00000000066952C072Cd9dC18D1b5384a1381811,1.0
0x000000000A38444e0a6E37d3b630d7e855a7cb13,1.0
0x00000000b9d747EF42D224e572a5B7e6488929c8,125.0
0x00000000cf40aA13fA8223F034926a376366bF34,1.0
0x000000026D59EF7fE979E8E79bE12cC530f5b6e5,125.0
0x0000000484f2217f1A64Eb6d24b5CEe446FaEAe5,125.0
0x0000000c4B4965Eb002771358b64f1A01E851325,125.0
0x0000000cfe14De9716215fD7415b9903D4E162BD,125.0
0x000000400A4f186aEA6731B94a8Ecc46221b2637,125.0
0x00000073Cf3143F2B82D5BD2F69E8E287f57E352,125.0
0x000009C4e3c98E1D72BEc04CF8Cc9338FA590275,75.0
0x00001EAa14a7684337C2C0f0A72c67b9Fc2C607C,1.0
0x000039DdCF1F63Cf3555e62a8D32a11bD1E7E1E1,1.0
0x00005fF7b4E62B6b868D36809F8a30c85A6D0000,50.0
0x0000A41c8fb13AC331d04800d85135F081B19A44,50.0
0x0000C864cD0BA79303AdfFFeaa80c0A14B0a2abb,1.0
0x0000D0294aCc3b485F374468B97dc902C5f6AA02,1.0
0x0000Efa8dce86e986946528Bbe6d37cC58731d3F,1.0
0x0000bBEFDE6e3B6613a4f021854CFbd6D3cd66b4,1.0
0x00015f4a9B778A81cde7A9e6330Bf0E2b46A882b,1.0
0x000169b8755138Ca0A775d24Ee23A5bb2A6EB607,1.0
0x000206732258D7511Fa624127228E6A032718E62,1.0
0x00021A4a232bF9BE1350C86200227f1e4a62aD11,1.0
0x00021eBC597eC5d2A74982a16805867e43f9b72d,1.0
0x000250150f8Fc5030700090ac5F9006Fa3a40134,25.0
0x0002Fd0f1d0708FDF065D3625B2EE83D210d58D9,1.0
0x0003795C62bca96842c658d4b4f44B181C36d01f,1.0
0x000399f77708592Dd0D643c745ba37259a350355,50.0
0x00043607fA39C35d613fA48A17C7ED1Afd57BBF6,1.0
0x000489e17C60B7E0f0D9CefEd4fE17A6AfE45f0e,1.0
0x000566B53E028d21e104E4320dE61c2314ef4064,1.0
0x0005C6af02bFBD72123E240C396A3c1fAAcb1670,1.0
0x0006A0aF114b34A7484FdBbF68339Db0E8F59759,1.0
0x0006C4985db2C97D85D795EE7587036DCE20d430,1.0
0x00071508DB163ee69814aaD31562F44B787c2D4D,1.0
0x000715880D00126D99A5494029cDFA6249D355f8,1.0
0x00080000158A9930aeb508823103b0a977161c47,75.0
0x00092DD025361061c65219eEcBC6305Fa5f78986,1.0
0x000B5E83dD32ba4BAb4b3D1744a73b36CAaac715,1.0
0x000B79f52356189C80a9d3AdA3911D4438218516,125.0
0x000CD92d64c8199b00f42Cb0218EBa60D09BEC60,1.0
0x000D6809fb77f41c45c858f6510Ccf18EaF6D673,1.0
0x000E60c6AE45C2596CfbF47280ff0314FDDDa060,1.0
0x000aa644Afae99d06C9a0ED0E41B1e61bECA958d,1.0
